Date,Value,Anomaly
189501,28.4,-3.1
189601,28.0,-3.5
189701,28.8,-2.7
189801,33.4,1.9
189901,29.3,-2.2
190001,30.6,-0.9
190101,31.0,-0.5
190201,28.9,-2.6
190301,28.9,-2.6
190401,23.2,-8.3
190501,26.6,-4.9
190601,35.7,4.2
190701,32.1,0.6
190801,30.3,-1.2
190901,32.1,0.6
191001,29.1,-2.4
191101,33.8,2.3
191201,22.5,-9.0
191301,39.6,8.1
191401,30.3,-1.2
191501,33.2,1.7
191601,34.7,3.2
191701,31.6,0.1
191801,20.5,-11.0
191901,34.4,2.9
192001,22.7,-8.8
192101,32.7,1.2
192201,27.5,-4.0
192301,28.8,-2.7
192401,31.6,0.1
192501,27.4,-4.1
192601,30.9,-0.6
192701,29.8,-1.7
192801,32.9,1.4
192901,30.9,-0.6
193001,32.2,0.7
193101,31.7,0.2
193201,42.1,10.6
193301,39.2,7.7
193401,33.4,1.9
193501,27.8,-3.7
193601,28.2,-3.3
193701,39.2,7.7
193801,31.0,-0.5
193901,31.1,-0.4
194001,23.9,-7.6
194101,28.3,-3.2
194201,29.6,-1.9
194301,29.7,-1.8
194401,32.8,1.3
194501,24.1,-7.4
194601,33.0,1.5
194701,36.0,4.5
194801,24.1,-7.4
194901,37.3,5.8
195001,40.4,8.9
195101,35.1,3.6
195201,34.9,3.4
195301,36.4,4.9
195401,29.8,-1.7
195501,29.9,-1.6
195601,31.2,-0.3
195701,27.7,-3.8
195801,31.1,-0.4
195901,30.4,-1.1
196001,33.1,1.6
196101,26.9,-4.6
196201,31.8,0.3
196301,29.3,-2.2
196401,34.8,3.3
196501,28.8,-2.7
196601,31.3,-0.2
196701,36.4,4.9
196801,25.8,-5.7
196901,30.8,-0.7
197001,24.2,-7.3
197101,26.2,-5.3
197201,34.3,2.8
197301,34.8,3.3
197401,34.4,2.9
197501,36.6,5.1
197601,26.6,-4.9
197701,21.3,-10.2
197801,27.3,-4.2
197901,32.2,0.7
198001,32.2,0.7
198101,24.8,-6.7
198201,24.7,-6.8
198301,33.1,1.6
198401,28.4,-3.1
198501,27.4,-4.1
198601,33.0,1.5
198701,31.8,0.3
198801,28.7,-2.8
198901,36.6,5.1
199001,40.5,9.0
199101,34.1,2.6
199201,34.9,3.4
199301,35.5,4.0
199401,24.7,-6.8
199501,37.4,5.9
199601,30.5,-1.0
199701,32.1,0.6
199801,40.0,8.5
199901,33.9,2.4
200001,31.3,-0.2
200101,33.6,2.1
200201,39.9,8.4
200301,27.5,-4.0
200401,24.7,-6.8
200501,31.3,-0.2
200601,40.9,9.4
200701,37.5,6.0
200801,36.5,5.0
200901,27.9,-3.6
201001,32.5,1.0
201101,29.7,-1.8
201201,37.3,5.8
201301,35.1,3.6
201401,28.7,-2.8
201501,30.0,-1.5
201601,34.5,3.0
201701,38.1,6.6
201801,31.8,0.3
201901,32.6,1.1
202001,39.2,7.7
202101,34.8,3.3
202201,30.4,-1.1
